tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,tmdb_id,popularity,original_language,release_date,tmdb_vote_average,tmdb_vote_count,tmdb_genres
tt1071805,Inugoe,2006.0,100.0,Comedy,5.8,10.0,,,,,,,
tt1948159,Sunny Land,2011.0,87.0,Documentary,,,276059.0,0.0071,en,2010-01-01,0.0,0.0,Documentary
tt0105175,Beyond Justice,1991.0,113.0,"Action,Adventure,Drama",4.6,715.0,112054.0,0.9567,it,1992-12-02,3.5,10.0,"Adventure,Drama,Action,Thriller"
tt0043475,Dos vidas,1952.0,80.0,Drama,,,,,,,,,
tt1598565,La nostra marina da guerra opera per la vittoria e la gloria d'Italia,1916.0,,Documentary,,,,,,,,,
tt12888160,South East Asia - Arcadia World Cosmos Global Travel Films,2007.0,52.0,Documentary,,,,,,,,,
tt26999595,The Great Heist,2020.0,55.0,"Comedy,Western",,,,,,,,,
tt1566188,Ketchup in Tuva: A Transsiberian Treasure Hunt,2009.0,81.0,Documentary,8.6,11.0,,,,,,,
tt3476064,La table verte,2013.0,50.0,Drama,,,,,,,,,
tt2153878,Hangover Square,2009.0,93.0,"Drama,Romance,Thriller",,,,,,,,,
tt0060073,Africa Addio,1966.0,122.0,Documentary,7.0,2199.0,41264.0,2.0428,it,1966-02-11,6.1,51.0,"Documentary,History,War,Horror"
tt0435607,Between the Lines,2004.0,80.0,Documentary,8.4,16.0,,,,,,,
tt12417880,Aurore Collective (Carnet Filmé: 15 août 1969 - 31 décembre 1977),1977.0,90.0,Documentary,,,1064700.0,0.2029,fr,2020-09-02,6.0,1.0,
tt6274216,Mulan congjun,1928.0,,"History,War",,,529577.0,0.2895,zh,1928-06-13,5.2,2.0,History
tt0053065,Middle of the Night,1959.0,118.0,Drama,7.2,1936.0,120522.0,1.3154,en,1959-05-20,7.0,36.0,"Drama,Romance"
tt5154568,Pequeño diccionario ilustrado de la electricidad,2015.0,87.0,Documentary,,,435201.0,0.0,es,2015-01-15,0.0,0.0,
tt30395629,Fever Dream,2023.0,195.0,"Comedy,Drama",6.4,1369.0,1114740.0,0.5921,ar,2024-05-02,7.0,1.0,"Comedy,Drama"
tt0030056,La madrina del diablo,1937.0,,"Adventure,Drama,Romance",6.3,33.0,298292.0,0.2499,es,1937-09-09,5.2,4.0,
tt2971586,Hei dao huo hu li,1990.0,,"Action,Thriller",,,698414.0,0.4776,zh,1990-01-01,0.0,0.0,Action
tt1991218,The Polterguys,2012.0,,Comedy,4.2,37.0,,,,,,,
tt7268548,Lass uns abhauen,2018.0,80.0,"Comedy,Drama",5.9,37.0,784344.0,0.264,de,2018-10-25,9.0,1.0,"Comedy,Drama"
tt4535358,Welcome to Woomera,2004.0,55.0,"Documentary,War",,,,,,,,,
tt0768830,Escort,2006.0,100.0,Thriller,6.2,476.0,75179.0,0.4533,nl,2006-05-27,6.0,7.0,Thriller
tt0312679,The Fast Freight,1926.0,,"Action,Adventure,Romance",1.6,28.0,941963.0,0.1168,en,1925-07-01,0.0,1.0,"Action,Adventure,Romance"
tt18546502,Le fabuleux cinéma du dr. Mouren,2020.0,52.0,Documentary,,,,,,,,,
tt1798181,Enemy at the Dead End,2010.0,92.0,Thriller,6.4,217.0,115100.0,1.3388,ko,2010-08-26,6.3,23.0,Thriller
tt1344774,The Silo,2009.0,80.0,"Action,Drama,Music",,,,,,,,,
tt26345542,The Peacock,2023.0,106.0,Comedy,5.0,410.0,1073045.0,0.8141,de,2023-03-09,4.6,21.0,"Comedy,Drama"
tt0084700,Snow: The Movie,1982.0,85.0,Comedy,4.9,34.0,353393.0,0.0874,en,1982-06-13,1.0,2.0,Comedy
tt2170299,Bad Words,2013.0,89.0,"Comedy,Drama",6.7,58024.0,209403.0,1.4467,en,2013-09-06,6.397,896.0,Comedy
tt12952650,Rishta,2010.0,,Family,,,,,,,,,
tt14246376,Secrets of the Adriatic,2003.0,,Documentary,,,1290455.0,0.1313,en,2003-01-01,0.0,0.0,Documentary
tt0087435,Hundeliebe,1982.0,50.0,Documentary,,,,,,,,,
tt6402526,Fighter Rooster,2009.0,79.0,Comedy,4.4,803.0,449182.0,0.3117,fa,2009-06-12,3.0,5.0,Comedy
tt0444849,Karam,2005.0,117.0,Thriller,5.8,1574.0,272220.0,0.7965,hi,2005-01-01,5.5,13.0,"Action,Crime,Drama"
tt26807131,Le secret du Camélia,1928.0,,Adventure,,,,,,,,,
tt0037798,I Accuse My Parents,1944.0,68.0,"Crime,Drama",2.6,3144.0,31282.0,0.7353,en,1944-10-27,2.7,32.0,"Drama,Crime"
tt14993218,Jemen - Die Mütter der Entführten,2021.0,,Documentary,,,,,,,,,
tt3653252,"Sperduti nel buio: storia di un film che c'era e non si trova più, e di un cinema che non c'era ma che si voleva fare a tutti i costi",2014.0,,Documentary,8.3,10.0,670242.0,0.0897,it,2014-04-09,0.0,0.0,Documentary
tt1916645,Andheri Raaton Mein,2001.0,,Drama,,,,,,,,,
tt0049544,Navy Wife,1956.0,83.0,"Comedy,Romance",4.4,51.0,407596.0,0.5897,en,1956-05-20,0.0,0.0,Comedy
